ciudad,latitud,longitud
SOACHA,4.582774107987474, -74.21259167224173
NEIVA,2.9352500445330496, -75.28101298727623
MOSQUERA (CUN),4.7092222593647834, -74.22654342967313
SOPO,4.908815517487553, -73.94015651559842
MADRID,4.734118899105172, -74.26304538591383
BOGOTA D.C.,4.714666121446009, -74.06730914016987
TENJO,4.873107712968733, -74.14306357741948
VILLAVICENCIO,4.148416003057574, -73.62760900212696
TOCANCIPA,4.966137098208774, -73.91299299102302
FUNZA,4.717704443187043, -74.21194733350188
IBAGUE,4.443933360756739, -75.2394312921905
PEREIRA,4.8088418475277015, -75.68725573726215
CUCUTA,7.887549984080205, -72.70487470858191
CARTAGENA,10.399890871335053, -75.45188534681343
BUCARAMANGA,7.11741434994738, -73.16315397471764
YUMBO,3.5470476345608724, -76.49708998157351
YOPAL,5.388267108013559, -72.36579800007901
CAJICA,4.918804188675024, -74.02246522328188
CALI ,3.446546635574601, -76.52979806872428
TUNJA,5.545102174859626, -73.3569285280365
GARZON,2.204000225748665, -75.6492909186419
MEDELLIN,6.247851076741385, -75.56694079378543
TUTA,5.69224778151, -73.22389961292495
BARRANCABERMEJA,7.061782084876591, -73.83887073142525
SIBATE,4.488937115102679, -74.25261622668141
TAUSA,5.1958474824456164, -73.88722296420204
GUACHETA,5.3837170635519715, -73.68620939461472
COTA,4.809652095494798, -74.10241772688265
TIBASOSA,5.746939087038036, -72.99914669343539
BARRANQUILLA,11.004025256282763, -74.8104679353523
SAN ALBERTO,7.763529192726104, -73.39387399721603
ZIPAQUIRA,5.053388935765602, -74.03984012908893
PASTO,1.2064889031124915, -77.28511897291393
CUCUNUBA,5.250223054439693, -73.76715441916453
DUITAMA,5.827245660220587, -73.0325963338839
FACATATIVA,4.8112746801087125, -74.35356766787805
GACHANCIPA,4.994726087241081, -73.87179290842363
SILVANIA,4.387111208618785, -74.39895697584755
SANTA MARTA,11.240208341828305, -74.20690728783296
PITALITO,1.8562985630053823, -76.04498053799186
GIRARDOT,4.30548815416578, -74.80063508439251
SOGAMOSO,5.715716991288726, -72.92772094049279
BUENAVENTURA,3.88299580777631, -77.02090818629053
GUAMO,4.029602836551739, -74.97410907586102
TULUA,4.0905484310997515, -76.19074835471635
BUGA,3.8949884269940362, -76.30505594844155
ESPINAL,4.150116654296709, -74.88401752749675
LA PAILA,4.31938413099643, -76.06888402176831
YOTOCO,3.8605298128950776, -76.38428728281065
DOSQUEBRADAS,4.832477935786211, -75.67943734945649
FUSAGASUGA,4.345196857681017, -74.36162687597587
GRANADA (CUN),4.519758363259365, -74.35148538524385
AGUACHICA,8.309837085475838, -73.61312236225213
CHIA,4.864730895460201, -74.0509134392123
ALGECIRAS,2.5234418527889355, -75.31535520383916
VILLANUEVA (SAN),6.670702044014036, -73.17553300760619
MOCOA,1.1776809849866305, -76.59707765592114
TAME,6.458627853470994, -71.73590339447551
CAMPOALEGRE,2.6850451103182245, -75.32789137089888
PAZ DEL RIO,5.987619330608974, -72.74664685195035
PAIPA,5.779941020611768, -73.11455305938347
NOBSA,5.770596845176721, -72.93984034281554
CERETE,8.888870278678322, -75.78976487990394
BOCHALEMA,7.611563859702119, -72.64756330363912
GIRON,7.08113479276586, -73.17246504369713
MONTERIA,8.751724532770123, -75.88231419903411
CALARCA,4.526779405547219, -75.6422125972543
PAZ DE ARIPORO,5.880590803414851, -71.89374670290707
GRANADA (MET),3.5440339590533156, -73.70328329967734
